,resale_price,floor_area_sqm,Remaining_lease,Dist_nearest_station,Dist_nearest_primary_school,Dist_nearest_GHawker,Dist_CBD,flat_type_category,storey_category
21,555000.0,127.0,74,1.504282,0.3751053,3.967145,14.41729,flat_type_5.ROOM,storey_range_04.TO.06
22,275000.0,47.0,94,0.1546765,0.3144504,5.330857,14.41583,flat_type_2.ROOM,storey_range_04.TO.06
23,538000.0,120.0,65,1.349412,0.3266081,1.500825,10.1826,flat_type_5.ROOM,storey_range_10.TO.12
24,790000.0,140.0,75,0.1840365,0.3809731,1.49167,10.63465,flat_type_EXECUTIVE,storey_range_01.TO.03
25,427000.0,94.0,91,0.1679582,0.1410878,3.332099,12.43874,flat_type_4.ROOM,storey_range_07.TO.09
26,310000.0,65.0,45,0.1875094,0.5241358,0.3932454,6.408697,flat_type_3.ROOM,storey_range_04.TO.06
27,430000.0,92.0,93,1.468523,0.5333558,2.203372,15.39434,flat_type_4.ROOM,storey_range_07.TO.09
28,395000.0,70.0,54,0.6204365,0.4774311,0.2092078,3.513024,flat_type_3.ROOM,storey_range_07.TO.09
29,618000.0,91.0,63,0.6118046,0.3754925,0.3192725,2.810579,flat_type_4.ROOM,storey_range_01.TO.03
30,1020000.0,146.0,66,0.2773397,0.1262907,0.1059332,10.40506,flat_type_EXECUTIVE,storey_range_07.TO.09
31,235000.0,60.0,45,0.3473205,0.2539195,0.04666545,6.08319,flat_type_3.ROOM,storey_range_04.TO.06
32,490000.0,103.0,62,0.4931288,0.4161996,0.5345141,12.89768,flat_type_4.ROOM,storey_range_10.TO.12
33,570000.0,105.0,67,0.3923193,0.6015482,1.915554,7.421241,flat_type_4.ROOM,storey_range_01.TO.03
34,490000.0,93.0,95,0.3080918,0.5704205,3.802532,15.42257,flat_type_4.ROOM,storey_range_16.TO.18
35,715000.0,146.0,66,0.3510495,0.07903634,3.928805,13.55048,flat_type_EXECUTIVE,storey_range_07.TO.09
36,453000.0,93.0,95,0.3684917,0.5948764,3.761473,15.45589,flat_type_4.ROOM,storey_range_07.TO.09
37,660000.0,116.0,92,0.3235725,0.2291061,5.152631,14.29144,flat_type_5.ROOM,storey_range_01.TO.03
38,385000.0,84.0,64,0.3665832,0.2543425,0.6703203,16.00379,flat_type_4.ROOM,storey_range_04.TO.06
39,930000.0,151.0,70,0.5610219,0.3981431,0.8694303,8.016429,flat_type_EXECUTIVE,storey_range_07.TO.09
40,920000.0,95.0,94,0.7036069,0.5167408,1.04037,4.534237,flat_type_4.ROOM,storey_range_10.TO.12
41,755000.0,81.0,92,0.4997873,0.4268654,0.6977304,10.30558,flat_type_4.ROOM,storey_range_22.TO.24
42,515000.0,128.0,73,0.8271966,0.3753875,3.230877,14.20983,flat_type_5.ROOM,storey_range_01.TO.03
43,608000.0,110.0,94,0.1656864,0.1324401,5.759679,14.83252,flat_type_5.ROOM,storey_range_10.TO.12
44,360000.0,83.0,56,0.5582259,0.4297222,0.1470622,10.53477,flat_type_4.ROOM,storey_range_01.TO.03
45,400000.0,104.0,66,0.7019078,0.1140041,1.986909,14.83016,flat_type_4.ROOM,storey_range_07.TO.09
46,665000.0,113.0,95,1.414281,0.3819396,1.85297,12.01985,flat_type_5.ROOM,storey_range_04.TO.06
47,370000.0,92.0,56,0.7097255,0.5918044,0.3293916,11.08457,flat_type_4.ROOM,storey_range_07.TO.09
48,688898.0,145.0,66,0.8488601,0.6872618,2.63753,14.69088,flat_type_EXECUTIVE,storey_range_01.TO.03
49,380000.0,67.0,93,0.8994688,0.6399255,2.285721,14.39843,flat_type_3.ROOM,storey_range_04.TO.06
50,348000.0,90.0,63,0.9009217,0.3488585,1.445796,16.75109,flat_type_4.ROOM,storey_range_01.TO.03
51,316000.0,65.0,54,0.4136248,0.5104563,0.3199209,10.04272,flat_type_3.ROOM,storey_range_13.TO.15
52,630000.0,102.0,75,0.7993692,0.3104235,0.2562074,5.582661,flat_type_4.ROOM,storey_range_07.TO.09
53,470000.0,116.0,77,1.51719,0.2174428,2.014994,10.73963,flat_type_5.ROOM,storey_range_01.TO.03
54,315000.0,64.0,63,0.5632662,0.2640167,0.8198173,7.559792,flat_type_3.ROOM,storey_range_01.TO.03
55,493000.0,98.0,56,0.6577096,0.6265166,0.4118656,9.559597,flat_type_4.ROOM,storey_range_04.TO.06
56,1080000.0,112.0,96,0.2427059,0.1312099,0.3795333,10.36761,flat_type_5.ROOM,storey_range_31.TO.33
57,485000.0,121.0,74,0.6993635,0.4068503,1.658532,18.57272,flat_type_5.ROOM,storey_range_01.TO.03
58,305000.0,68.0,58,0.7615836,0.6179719,0.2213257,9.930967,flat_type_3.ROOM,storey_range_01.TO.03
59,560000.0,148.0,71,1.382376,0.2428714,3.345526,15.5375,flat_type_EXECUTIVE,storey_range_04.TO.06
60,492000.0,122.0,77,0.6003249,0.06610293,3.682737,16.03784,flat_type_5.ROOM,storey_range_10.TO.12
61,535000.0,92.0,94,0.2041843,0.2300732,5.824372,14.94093,flat_type_4.ROOM,storey_range_16.TO.18
62,620000.0,85.0,78,0.6291013,0.4945471,0.7743145,4.570082,flat_type_4.ROOM,storey_range_04.TO.06
63,420000.0,92.0,93,0.1221447,0.4111279,5.491514,14.67151,flat_type_4.ROOM,storey_range_01.TO.03
64,280000.0,67.0,55,0.9269262,0.2858038,0.2542759,9.462828,flat_type_3.ROOM,storey_range_07.TO.09
65,435000.0,67.0,91,0.9197672,0.1455855,1.671023,15.87942,flat_type_3.ROOM,storey_range_04.TO.06
66,615000.0,113.0,94,0.1629632,0.5915124,3.286016,12.23711,flat_type_5.ROOM,storey_range_13.TO.15
67,518000.0,67.0,94,0.4099113,0.778797,0.1939886,6.458052,flat_type_3.ROOM,storey_range_04.TO.06
68,818000.0,90.0,86,0.1525621,0.1942368,0.1509304,6.134463,flat_type_4.ROOM,storey_range_31.TO.33
69,595000.0,128.0,81,0.2478077,0.2162249,5.124368,14.27543,flat_type_EXECUTIVE,storey_range_07.TO.09
70,536000.0,91.0,57,0.4001699,0.336162,0.5777826,10.37828,flat_type_4.ROOM,storey_range_07.TO.09
71,445000.0,94.0,89,0.1923247,0.3615679,3.34582,12.3366,flat_type_4.ROOM,storey_range_07.TO.09
72,400000.0,100.0,74,0.4888152,0.4213119,2.174826,18.44267,flat_type_4.ROOM,storey_range_07.TO.09
73,435000.0,92.0,86,0.296654,0.1425454,2.716238,11.87862,flat_type_4.ROOM,storey_range_01.TO.03
74,425000.0,90.0,82,0.7329912,0.4149833,2.68436,18.28793,flat_type_4.ROOM,storey_range_16.TO.18
75,732000.0,90.0,86,0.2254886,0.1195093,0.1989764,6.06558,flat_type_4.ROOM,storey_range_16.TO.18
76,680000.0,100.0,79,0.2863356,0.1755101,0.2207923,3.905061,flat_type_4.ROOM,storey_range_10.TO.12
77,820000.0,93.0,91,0.5739328,0.8304095,0.3545187,7.839123,flat_type_4.ROOM,storey_range_13.TO.15
78,730000.0,113.0,93,0.8244819,0.4627094,1.489334,12.74873,flat_type_5.ROOM,storey_range_10.TO.12
79,430000.0,103.0,61,1.326986,1.398462,0.5786626,9.353528,flat_type_4.ROOM,storey_range_01.TO.03
80,569000.0,113.0,95,0.8696513,0.580452,3.305368,15.5299,flat_type_5.ROOM,storey_range_13.TO.15
81,324000.0,67.0,57,0.289337,0.200088,0.3661038,9.553604,flat_type_3.ROOM,storey_range_07.TO.09
82,232000.0,65.0,54,0.8794032,0.5330952,0.3646786,16.82631,flat_type_3.ROOM,storey_range_10.TO.12
83,500000.0,110.0,81,0.3674214,0.1888734,3.818332,12.90212,flat_type_5.ROOM,storey_range_04.TO.06
84,420000.0,101.0,76,1.438303,0.4659108,1.788648,10.45244,flat_type_4.ROOM,storey_range_07.TO.09
85,470000.0,92.0,93,0.192196,0.3949828,3.486263,12.47787,flat_type_4.ROOM,storey_range_19.TO.21
86,468000.0,92.0,95,0.452045,0.5279918,3.7393,15.55347,flat_type_4.ROOM,storey_range_10.TO.12
87,605000.0,143.0,75,1.018469,0.1716967,2.142916,12.39173,flat_type_EXECUTIVE,storey_range_01.TO.03
88,625000.0,112.0,93,0.1738943,0.1092496,5.38499,14.4983,flat_type_5.ROOM,storey_range_16.TO.18
89,525000.0,113.0,91,0.2012722,0.2109124,3.397753,12.47541,flat_type_5.ROOM,storey_range_04.TO.06
90,665000.0,91.0,80,0.3586196,0.1174067,0.3940419,9.801986,flat_type_4.ROOM,storey_range_13.TO.15
91,540000.0,113.0,94,0.2248405,0.3435299,3.649487,12.78249,flat_type_5.ROOM,storey_range_10.TO.12
92,265000.0,74.0,62,0.5263696,0.2474707,4.606951,15.5549,flat_type_3.ROOM,storey_range_04.TO.06
93,555000.0,93.0,93,0.5800227,0.505897,1.252801,11.4579,flat_type_4.ROOM,storey_range_07.TO.09
94,488000.0,92.0,95,0.3554149,0.2868812,4.89764,13.99995,flat_type_4.ROOM,storey_range_07.TO.09
95,405000.0,90.0,79,0.464617,0.3137767,1.506481,17.52368,flat_type_4.ROOM,storey_range_01.TO.03
96,430000.0,93.0,94,0.3430825,0.2751175,5.957237,15.10295,flat_type_4.ROOM,storey_range_01.TO.03
97,755000.0,144.0,75,0.9713853,0.7684214,1.628588,11.28715,flat_type_EXECUTIVE,storey_range_07.TO.09
98,540000.0,113.0,95,0.2805004,0.5435889,4.185728,13.30118,flat_type_5.ROOM,storey_range_07.TO.09
99,880000.0,113.0,78,0.164241,0.7493168,0.1932227,4.315886,flat_type_5.ROOM,storey_range_04.TO.06
100,448000.0,91.0,52,0.06083977,0.4371337,0.2939653,6.061561,flat_type_4.ROOM,storey_range_04.TO.06
101,685000.0,75.0,80,0.6511422,0.1852822,0.5137449,1.755161,flat_type_4.ROOM,storey_range_16.TO.18
102,400000.0,64.0,64,0.378416,0.2150043,1.051663,7.087116,flat_type_3.ROOM,storey_range_04.TO.06
103,303000.0,59.0,54,0.8505562,0.3358746,0.06832684,3.521764,flat_type_3.ROOM,storey_range_10.TO.12
104,860000.0,112.0,92,0.9421713,0.3883159,2.414199,11.51161,flat_type_5.ROOM,storey_range_10.TO.12
105,675000.0,147.0,71,0.4438023,0.4857169,1.657053,14.04427,flat_type_EXECUTIVE,storey_range_04.TO.06
106,235000.0,66.0,51,1.100607,0.6692648,0.5969711,5.196068,flat_type_3.ROOM,storey_range_01.TO.03
107,385000.0,87.0,52,0.6944752,0.2784172,0.5250383,4.777121,flat_type_4.ROOM,storey_range_10.TO.12
108,497000.0,68.0,94,0.3785004,0.489464,0.05604684,4.761896,flat_type_3.ROOM,storey_range_07.TO.09
109,865000.0,110.0,81,0.5018123,0.3011777,0.1980934,2.838126,flat_type_5.ROOM,storey_range_25.TO.27
110,738000.0,148.0,70,0.4537553,0.4032315,2.409539,11.51241,flat_type_EXECUTIVE,storey_range_07.TO.09
111,335000.0,69.0,63,0.6534369,0.2360317,1.48809,13.48474,flat_type_3.ROOM,storey_range_04.TO.06
112,649998.0,69.0,91,0.4221196,0.6241664,0.1543274,2.537149,flat_type_3.ROOM,storey_range_22.TO.24
113,280888.0,56.0,49,0.5723186,0.7313205,0.2703172,2.192995,flat_type_3.ROOM,storey_range_07.TO.09
114,585000.0,113.0,94,0.1745951,0.3778272,4.303262,13.41413,flat_type_5.ROOM,storey_range_01.TO.03
115,735000.0,95.0,78,0.2129882,0.6963951,0.1781728,4.371802,flat_type_4.ROOM,storey_range_10.TO.12
116,910000.0,187.0,68,1.402829,0.2717694,0.949405,8.564645,flat_type_EXECUTIVE,storey_range_10.TO.12
117,386000.0,90.0,81,0.3791311,0.2922935,5.249052,14.41002,flat_type_4.ROOM,storey_range_01.TO.03
118,457000.0,92.0,95,0.5336606,0.5156765,3.654675,15.5379,flat_type_4.ROOM,storey_range_07.TO.09
119,460000.0,99.0,75,0.9534433,0.2485392,1.468031,12.45841,flat_type_4.ROOM,storey_range_13.TO.15
120,700000.0,110.0,81,0.2112069,0.4902503,4.723239,14.50178,flat_type_5.ROOM,storey_range_13.TO.15
121,400000.0,110.0,80,0.738899,0.2242422,5.453049,17.55754,flat_type_5.ROOM,storey_range_04.TO.06
122,638888.0,70.0,90,0.4415952,0.2626273,0.1740492,5.87437,flat_type_3.ROOM,storey_range_07.TO.09
123,646800.0,113.0,95,0.813076,0.5203627,2.551823,11.64588,flat_type_5.ROOM,storey_range_07.TO.09
124,330000.0,67.0,92,0.3416476,0.3581427,3.553405,12.63892,flat_type_3.ROOM,storey_range_01.TO.03
125,480000.0,93.0,95,0.3080918,0.5704205,3.802532,15.42257,flat_type_4.ROOM,storey_range_13.TO.15
126,630000.0,92.0,95,0.313664,0.4419694,3.461306,12.5858,flat_type_4.ROOM,storey_range_13.TO.15
127,272000.0,59.0,53,0.7978719,0.2991585,0.9577448,10.0062,flat_type_3.ROOM,storey_range_07.TO.09
128,465000.0,90.0,93,0.3126706,0.3152989,5.997783,15.15874,flat_type_4.ROOM,storey_range_07.TO.09
129,422000.0,100.0,77,0.2090452,0.418144,5.238308,14.83059,flat_type_4.ROOM,storey_range_07.TO.09
130,640000.0,144.0,73,1.240241,0.3630323,2.846831,15.20647,flat_type_EXECUTIVE,storey_range_07.TO.09
131,515000.0,128.0,65,0.4240576,0.5774793,1.30115,15.32335,flat_type_5.ROOM,storey_range_07.TO.09
132,410000.0,110.0,79,0.7146973,0.1833873,2.866115,19.25524,flat_type_5.ROOM,storey_range_01.TO.03
133,648000.0,100.0,74,0.8081784,0.8745229,0.1268112,4.918151,flat_type_4.ROOM,storey_range_13.TO.15
134,365000.0,102.0,76,0.7240901,0.119452,1.977927,18.73369,flat_type_4.ROOM,storey_range_07.TO.09
135,340000.0,67.0,57,0.6637606,0.4062987,0.8506639,10.44039,flat_type_3.ROOM,storey_range_10.TO.12
136,508000.0,125.0,77,0.5911478,0.3277983,5.951411,17.67407,flat_type_5.ROOM,storey_range_07.TO.09
137,638888.0,143.0,74,1.251435,0.2149367,1.823985,18.61009,flat_type_EXECUTIVE,storey_range_13.TO.15
138,410000.0,95.0,79,1.223368,0.733003,0.1645905,15.34168,flat_type_4.ROOM,storey_range_16.TO.18
139,625000.0,92.0,93,0.2194122,0.1779251,2.978545,12.09314,flat_type_4.ROOM,storey_range_13.TO.15
140,505000.0,133.0,67,0.1571272,0.2271828,5.261373,14.52479,flat_type_5.ROOM,storey_range_04.TO.06
141,460000.0,93.0,94,0.1748764,0.3272057,5.081522,14.18117,flat_type_4.ROOM,storey_range_07.TO.09
142,295000.0,65.0,54,0.1484909,0.4810572,0.3110867,4.783001,flat_type_3.ROOM,storey_range_04.TO.06
143,610000.0,138.0,63,0.6583913,0.3407357,1.507444,13.42066,flat_type_5.ROOM,storey_range_04.TO.06
144,350000.0,82.0,58,1.215197,0.9743672,0.3697689,10.29042,flat_type_3.ROOM,storey_range_07.TO.09
145,317000.0,56.0,52,0.2145463,0.7167147,0.2771731,2.176376,flat_type_3.ROOM,storey_range_07.TO.09
146,730000.0,112.0,91,0.9197672,0.1455855,1.671023,15.87942,flat_type_5.ROOM,storey_range_13.TO.15
147,503000.0,92.0,94,0.7717431,0.8600547,2.860417,11.88686,flat_type_4.ROOM,storey_range_07.TO.09
148,875000.0,92.0,90,0.3859263,1.094413,0.2697227,7.242611,flat_type_4.ROOM,storey_range_22.TO.24
149,418000.0,94.0,78,0.5915754,0.7388818,0.7253648,17.41626,flat_type_4.ROOM,storey_range_07.TO.09
150,370000.0,68.0,57,0.4349102,0.437974,0.3825546,9.865483,flat_type_3.ROOM,storey_range_10.TO.12
151,575000.0,113.0,94,0.234548,0.2785263,4.247758,13.36908,flat_type_5.ROOM,storey_range_07.TO.09
152,763000.0,80.0,92,0.4625774,0.4021469,0.6586148,10.30198,flat_type_4.ROOM,storey_range_25.TO.27
153,528000.0,92.0,86,0.2640357,0.1490223,2.709533,11.87124,flat_type_4.ROOM,storey_range_07.TO.09
154,375000.0,103.0,62,1.103299,0.7588206,0.9130757,15.8771,flat_type_4.ROOM,storey_range_10.TO.12
155,520000.0,92.0,86,0.2640357,0.1490223,2.709533,11.87124,flat_type_4.ROOM,storey_range_07.TO.09
156,540000.0,123.0,76,0.2209682,0.3446844,5.928958,17.02147,flat_type_5.ROOM,storey_range_07.TO.09
157,480000.0,110.0,81,0.4912128,0.3222678,2.093452,18.63828,flat_type_5.ROOM,storey_range_10.TO.12
158,406800.0,90.0,83,0.07047359,0.3209812,4.248747,13.38483,flat_type_4.ROOM,storey_range_10.TO.12
159,465000.0,121.0,65,0.8801637,0.1578405,1.612852,15.35004,flat_type_5.ROOM,storey_range_07.TO.09
160,397000.0,100.0,76,1.067946,0.3889941,1.78362,10.69496,flat_type_4.ROOM,storey_range_13.TO.15
161,373000.0,81.0,55,0.9269262,0.2858038,0.2542759,9.462828,flat_type_4.ROOM,storey_range_10.TO.12
162,325000.0,65.0,54,0.1484909,0.4810572,0.3110867,4.783001,flat_type_3.ROOM,storey_range_04.TO.06
163,830000.0,94.0,50,1.054413,0.697294,0.620114,4.914301,flat_type_3.ROOM,storey_range_01.TO.03
164,558000.0,113.0,94,0.2536163,0.2680488,4.707915,14.02718,flat_type_5.ROOM,storey_range_07.TO.09
165,540000.0,93.0,94,0.06244643,0.2863328,5.765798,14.92655,flat_type_4.ROOM,storey_range_10.TO.12
166,505000.0,126.0,78,0.6703116,0.1688144,1.956288,17.89231,flat_type_5.ROOM,storey_range_01.TO.03
167,410000.0,104.0,62,0.1616653,0.1665307,0.5623975,11.97847,flat_type_4.ROOM,storey_range_01.TO.03
168,432000.0,108.0,63,0.5125597,0.152871,0.7515076,13.10362,flat_type_4.ROOM,storey_range_04.TO.06
169,432000.0,103.0,78,0.2351205,0.1838677,2.899873,18.1949,flat_type_4.ROOM,storey_range_10.TO.12
170,940000.0,97.0,89,0.265559,0.2872148,0.2797757,1.354558,flat_type_4.ROOM,storey_range_16.TO.18
171,593000.0,149.0,71,1.364893,0.3960046,3.195541,15.40202,flat_type_EXECUTIVE,storey_range_07.TO.09
172,446000.0,92.0,89,0.1842051,0.3425514,3.088852,12.24954,flat_type_4.ROOM,storey_range_13.TO.15
173,800000.0,150.0,62,0.2587542,0.1044908,0.6460862,12.68133,flat_type_EXECUTIVE,storey_range_10.TO.12
174,330000.0,67.0,57,0.6062954,0.3268429,0.4628001,9.974422,flat_type_3.ROOM,storey_range_01.TO.03
175,695000.0,113.0,94,0.2787396,0.2262317,5.888446,15.03432,flat_type_5.ROOM,storey_range_10.TO.12
176,289888.0,64.0,64,0.8734929,0.2552443,1.285077,16.93184,flat_type_3.ROOM,storey_range_10.TO.12
177,418000.0,92.0,58,0.7399425,0.2472367,0.2683655,10.43847,flat_type_4.ROOM,storey_range_07.TO.09
178,430000.0,103.0,62,0.7146767,0.3499782,0.5020871,12.89641,flat_type_4.ROOM,storey_range_01.TO.03
179,430000.0,93.0,94,1.1946,0.4613154,2.22702,14.92202,flat_type_4.ROOM,storey_range_04.TO.06
180,435000.0,92.0,93,0.1799028,0.4305612,4.38867,13.35278,flat_type_4.ROOM,storey_range_01.TO.03
181,733000.0,89.0,90,0.5663538,0.1729027,0.3598366,4.498298,flat_type_4.ROOM,storey_range_16.TO.18
182,738888.0,109.0,86,0.7946441,0.4234858,1.404562,12.64083,flat_type_5.ROOM,storey_range_10.TO.12
183,465000.0,93.0,92,0.3329577,0.3103508,3.508935,12.60728,flat_type_4.ROOM,storey_range_16.TO.18
184,310000.0,91.0,55,1.053244,0.9031005,0.4905783,19.5554,flat_type_4.ROOM,storey_range_10.TO.12
185,445000.0,93.0,94,0.3330546,0.1035852,4.62513,14.03467,flat_type_4.ROOM,storey_range_04.TO.06
186,478888.0,60.0,84,0.2850882,0.5298119,0.3727388,6.855741,flat_type_3.ROOM,storey_range_13.TO.15
187,370000.0,82.0,56,0.4021034,0.2428823,0.3092884,10.49091,flat_type_3.ROOM,storey_range_13.TO.15
188,352000.0,84.0,65,0.970445,0.09993693,1.977448,10.98019,flat_type_4.ROOM,storey_range_10.TO.12
189,500000.0,110.0,86,0.7629783,0.4368132,0.9882169,17.7238,flat_type_5.ROOM,storey_range_16.TO.18
190,378000.0,67.0,94,1.35386,1.614114,0.6039577,13.31574,flat_type_3.ROOM,storey_range_22.TO.24
191,400000.0,104.0,71,0.4010053,0.5164302,4.258764,16.2948,flat_type_4.ROOM,storey_range_04.TO.06
192,513000.0,121.0,66,1.17421,0.4581426,1.642446,11.92337,flat_type_5.ROOM,storey_range_10.TO.12
193,517000.0,114.0,86,0.3512102,0.5690744,2.269301,18.33811,flat_type_5.ROOM,storey_range_07.TO.09
194,630000.0,112.0,93,0.2095328,0.2164714,4.06895,13.03719,flat_type_5.ROOM,storey_range_13.TO.15
195,545000.0,122.0,66,0.5252653,0.4154182,1.24614,16.24848,flat_type_5.ROOM,storey_range_10.TO.12
196,765000.0,148.0,63,0.8039633,0.2047878,0.9486663,10.74155,flat_type_EXECUTIVE,storey_range_01.TO.03
197,470000.0,104.0,63,0.7671722,0.302667,0.6092475,11.14606,flat_type_4.ROOM,storey_range_07.TO.09
198,415000.0,92.0,93,0.3167146,0.1446771,5.654072,14.97032,flat_type_4.ROOM,storey_range_04.TO.06
199,265000.0,65.0,45,0.2778242,0.4986557,0.2857452,6.322275,flat_type_3.ROOM,storey_range_01.TO.03
200,420000.0,64.0,63,0.3896877,0.1951826,1.009112,7.07204,flat_type_3.ROOM,storey_range_07.TO.09
201,275000.0,59.0,56,0.4782312,0.6502954,0.428673,11.17347,flat_type_3.ROOM,storey_range_13.TO.15
202,675000.0,118.0,61,0.7217411,0.7328771,0.360503,2.077204,flat_type_5.ROOM,storey_range_01.TO.03
203,513000.0,92.0,94,0.07783277,0.1277923,5.617867,14.73251,flat_type_4.ROOM,storey_range_04.TO.06
204,530000.0,122.0,66,0.4983343,0.1590797,1.919814,14.78693,flat_type_5.ROOM,storey_range_04.TO.06
205,500000.0,121.0,63,0.5881727,0.2259819,0.2614393,16.22029,flat_type_5.ROOM,storey_range_10.TO.12
206,505000.0,93.0,94,0.3054568,0.1698614,5.879357,15.02757,flat_type_4.ROOM,storey_range_10.TO.12
207,435000.0,64.0,64,0.4483013,0.2008229,1.004899,7.034471,flat_type_3.ROOM,storey_range_07.TO.09
208,270000.0,56.0,47,0.3424168,0.6552016,0.2838531,6.050625,flat_type_3.ROOM,storey_range_07.TO.09
209,335000.0,67.0,56,0.3743244,0.3014506,0.2758299,4.692741,flat_type_3.ROOM,storey_range_07.TO.09
210,735000.0,122.0,64,0.5460675,0.3734958,0.4658059,4.364152,flat_type_5.ROOM,storey_range_10.TO.12
211,785000.0,108.0,92,0.7479671,0.4961859,1.403075,12.72174,flat_type_5.ROOM,storey_range_07.TO.09
212,228000.0,40.0,78,1.503134,0.5905546,2.229634,15.28002,flat_type_2.ROOM,storey_range_07.TO.09
213,500000.0,84.0,65,0.5324825,0.2344951,0.4066461,3.996277,flat_type_4.ROOM,storey_range_07.TO.09
214,330000.0,66.0,48,0.4397777,0.6352882,0.1090766,5.465357,flat_type_3.ROOM,storey_range_10.TO.12
215,460000.0,131.0,66,0.739635,0.3705362,0.7263886,17.09536,flat_type_5.ROOM,storey_range_10.TO.12
216,828000.0,120.0,52,0.1101934,0.5230683,0.1866277,6.081996,flat_type_5.ROOM,storey_range_04.TO.06
217,612000.0,121.0,65,0.3698281,0.4347484,1.132928,13.38167,flat_type_5.ROOM,storey_range_10.TO.12
218,468000.0,109.0,80,0.1312971,0.3286313,4.877701,14.03916,flat_type_5.ROOM,storey_range_07.TO.09
219,370000.0,103.0,63,0.2532622,0.1454389,1.056068,18.76872,flat_type_4.ROOM,storey_range_04.TO.06
220,560000.0,130.0,80,0.4299886,0.304773,5.289991,14.30599,flat_type_EXECUTIVE,storey_range_07.TO.09
221,460000.0,121.0,67,0.4898507,0.8333762,1.51161,13.62282,flat_type_5.ROOM,storey_range_04.TO.06
222,350000.0,104.0,64,0.7530598,0.379293,0.7839118,17.1056,flat_type_4.ROOM,storey_range_04.TO.06
223,689000.0,106.0,74,0.5178737,0.9341573,0.2879024,6.760252,flat_type_4.ROOM,storey_range_01.TO.03
224,465000.0,120.0,75,0.178158,0.08411055,2.554771,18.41989,flat_type_5.ROOM,storey_range_07.TO.09
225,700000.0,117.0,56,0.5116745,0.3462848,0.1204383,9.650444,flat_type_5.ROOM,storey_range_25.TO.27
226,440000.0,91.0,58,0.2426977,0.5771164,0.3427181,10.68154,flat_type_4.ROOM,storey_range_07.TO.09
227,328000.0,65.0,51,0.2781481,0.6073607,0.4814745,6.505913,flat_type_3.ROOM,storey_range_10.TO.12
228,680000.0,149.0,73,0.8383184,0.3753934,3.578556,14.58161,flat_type_EXECUTIVE,storey_range_10.TO.12
229,460000.0,93.0,92,0.3329577,0.3103508,3.508935,12.60728,flat_type_4.ROOM,storey_range_19.TO.21
230,295000.0,88.0,54,1.039892,0.9219797,0.2815913,19.3002,flat_type_4.ROOM,storey_range_01.TO.03
231,220000.0,40.0,50,0.3639915,0.4274378,0.8422946,5.198277,flat_type_2.ROOM,storey_range_01.TO.03
232,438888.0,93.0,95,0.74923,0.4824823,3.424096,15.58838,flat_type_4.ROOM,storey_range_04.TO.06
